component,spatial_domain,frequency,path,experiment,forcing_variant,variable,long_name,start_time,end_time,vertical_levels,units
atm,global,daily,s3://ncar-cesm2-lens/atm/daily/cesm2LE-historical-cmip6-LHFLX.zarr,historical,cmip6,LHFLX,Surface latent heat flux,1850-01-01 12:00:00,2014-12-31 12:00:00,,
atm,global,daily,s3://ncar-cesm2-lens/atm/daily/cesm2LE-historical-cmip6-SHFLX.zarr,historical,cmip6,SHFLX,Surface sensible heat flux,1850-01-01 12:00:00,2014-12-31 12:00:00,,
atm,global,daily,s3://ncar-cesm2-lens/atm/daily/cesm2LE-historical-smbb-LHFLX.zarr,historical,smbb,LHFLX,Surface latent heat flux,1850-01-01 12:00:00,2014-12-31 12:00:00,,
atm,global,daily,s3://ncar-cesm2-lens/atm/daily/cesm2LE-historical-smbb-SHFLX.zarr,historical,smbb,SHFLX,Surface sensible heat flux,1850-01-01 12:00:00,2014-12-31 12:00:00,,
ice,global_ocean,daily,s3://ncar-cesm2-lens/ice/daily/cesm2LE-historical-cmip6-aice_d.zarr,historical,cmip6,aice_d,ice area  (aggregate),1850-01-01 12:00:00,2014-12-30 12:00:00,,
ice,global_ocean,daily,s3://ncar-cesm2-lens/ice/daily/cesm2LE-historical-cmip6-hi_d.zarr,historical,cmip6,hi_d,grid cell mean ice thickness,1850-01-01 12:00:00,2014-12-30 12:00:00,,
ice,global_ocean,daily,s3://ncar-cesm2-lens/ice/daily/cesm2LE-historical-smbb-aice_d.zarr,historical,smbb,aice_d,ice area  (aggregate),1850-01-01 12:00:00,2014-12-30 12:00:00,,
ice,global_ocean,daily,s3://ncar-cesm2-lens/ice/daily/cesm2LE-historical-smbb-hi_d.zarr,historical,smbb,hi_d,grid cell mean ice thickness,1850-01-01 12:00:00,2014-12-30 12:00:00,,
ice,global_ocean,daily,s3://ncar-cesm2-lens/ice/daily/cesm2LE-ssp370-cmip6-aice_d.zarr,ssp370,cmip6,aice_d,ice area  (aggregate),2015-01-01 12:00:00,2100-12-30 12:00:00,,
ice,global_ocean,daily,s3://ncar-cesm2-lens/ice/daily/cesm2LE-ssp370-cmip6-hi_d.zarr,ssp370,cmip6,hi_d,grid cell mean ice thickness,2015-01-01 12:00:00,2100-12-30 12:00:00,,
ice,global_ocean,daily,s3://ncar-cesm2-lens/ice/daily/cesm2LE-ssp370-smbb-aice_d.zarr,ssp370,smbb,aice_d,ice area  (aggregate),2015-01-01 12:00:00,2100-12-30 12:00:00,,
ice,global_ocean,daily,s3://ncar-cesm2-lens/ice/daily/cesm2LE-ssp370-smbb-hi_d.zarr,ssp370,smbb,hi_d,grid cell mean ice thickness,2015-01-01 12:00:00,2100-12-30 12:00:00,,
ice,global_ocean,monthly,s3://ncar-cesm2-lens/ice/monthly/cesm2LE-historical-cmip6-aice.zarr,historical,cmip6,aice,ice area  (aggregate),1850-01-16 12:00:00,2014-12-16 12:00:00,,
ice,global_ocean,monthly,s3://ncar-cesm2-lens/ice/monthly/cesm2LE-historical-cmip6-hi.zarr,historical,cmip6,hi,grid cell mean ice thickness,1850-01-16 12:00:00,2014-12-16 12:00:00,,
ice,global_ocean,monthly,s3://ncar-cesm2-lens/ice/monthly/cesm2LE-historical-smbb-aice.zarr,historical,smbb,aice,ice area  (aggregate),1850-01-16 12:00:00,2014-12-16 12:00:00,,
ice,global_ocean,monthly,s3://ncar-cesm2-lens/ice/monthly/cesm2LE-historical-smbb-hi.zarr,historical,smbb,hi,grid cell mean ice thickness,1850-01-16 12:00:00,2014-12-16 12:00:00,,
ice,global_ocean,monthly,s3://ncar-cesm2-lens/ice/monthly/cesm2LE-ssp370-cmip6-aice.zarr,ssp370,cmip6,aice,ice area  (aggregate),2015-01-16 12:00:00,2100-12-16 12:00:00,,
ice,global_ocean,monthly,s3://ncar-cesm2-lens/ice/monthly/cesm2LE-ssp370-cmip6-hi.zarr,ssp370,cmip6,hi,grid cell mean ice thickness,2015-01-16 12:00:00,2100-12-16 12:00:00,,
ice,global_ocean,monthly,s3://ncar-cesm2-lens/ice/monthly/cesm2LE-ssp370-smbb-aice.zarr,ssp370,smbb,aice,ice area  (aggregate),2015-01-16 12:00:00,2100-12-16 12:00:00,,
ice,global_ocean,monthly,s3://ncar-cesm2-lens/ice/monthly/cesm2LE-ssp370-smbb-hi.zarr,ssp370,smbb,hi,grid cell mean ice thickness,2015-01-16 12:00:00,2100-12-16 12:00:00,,
lnd,global_land,daily,s3://ncar-cesm2-lens/lnd/daily/cesm2LE-historical-cmip6-FSNO.zarr,historical,cmip6,FSNO,fraction of ground covered by snow,1850-01-01 12:00:00,2014-12-31 12:00:00,,
lnd,global_land,daily,s3://ncar-cesm2-lens/lnd/daily/cesm2LE-historical-cmip6-H2OSNO.zarr,historical,cmip6,H2OSNO,snow depth (liquid water),1850-01-01 12:00:00,2014-12-31 12:00:00,,
lnd,global_land,daily,s3://ncar-cesm2-lens/lnd/daily/cesm2LE-historical-cmip6-NPP.zarr,historical,cmip6,NPP,net primary production,1850-01-01 12:00:00,2014-12-31 12:00:00,,
lnd,global_land,daily,s3://ncar-cesm2-lens/lnd/daily/cesm2LE-historical-cmip6-QRUNOFF.zarr,historical,cmip6,QRUNOFF,total liquid runoff not including correction for land use change,1850-01-01 12:00:00,2014-12-31 12:00:00,,
lnd,global_land,daily,s3://ncar-cesm2-lens/lnd/daily/cesm2LE-historical-cmip6-RAIN.zarr,historical,cmip6,RAIN,"atmospheric rain, after rain/snow repartitioning based on temperature",1850-01-01 12:00:00,2014-12-31 12:00:00,,
lnd,global_land,daily,s3://ncar-cesm2-lens/lnd/daily/cesm2LE-historical-cmip6-SNOW.zarr,historical,cmip6,SNOW,"atmospheric snow, after rain/snow repartitioning based on temperature",1850-01-01 12:00:00,2014-12-31 12:00:00,,
lnd,global_land,daily,s3://ncar-cesm2-lens/lnd/daily/cesm2LE-historical-cmip6-SOILWATER_10CM.zarr,historical,cmip6,SOILWATER_10CM,soil liquid water + ice in top 10cm of soil (veg landunits only),1850-01-01 12:00:00,2014-12-31 12:00:00,,
lnd,global_land,daily,s3://ncar-cesm2-lens/lnd/daily/cesm2LE-historical-smbb-FSNO.zarr,historical,smbb,FSNO,fraction of ground covered by snow,1850-01-01 12:00:00,2014-12-31 12:00:00,,
lnd,global_land,daily,s3://ncar-cesm2-lens/lnd/daily/cesm2LE-historical-smbb-H2OSNO.zarr,historical,smbb,H2OSNO,snow depth (liquid water),1850-01-01 12:00:00,2014-12-31 12:00:00,,
lnd,global_land,daily,s3://ncar-cesm2-lens/lnd/daily/cesm2LE-historical-smbb-NPP.zarr,historical,smbb,NPP,net primary production,1850-01-01 12:00:00,2014-12-31 12:00:00,,
lnd,global_land,daily,s3://ncar-cesm2-lens/lnd/daily/cesm2LE-historical-smbb-QRUNOFF.zarr,historical,smbb,QRUNOFF,total liquid runoff not including correction for land use change,1850-01-01 12:00:00,2014-12-31 12:00:00,,
lnd,global_land,daily,s3://ncar-cesm2-lens/lnd/daily/cesm2LE-historical-smbb-RAIN.zarr,historical,smbb,RAIN,"atmospheric rain, after rain/snow repartitioning based on temperature",1850-01-01 12:00:00,2014-12-31 12:00:00,,
lnd,global_land,daily,s3://ncar-cesm2-lens/lnd/daily/cesm2LE-historical-smbb-SNOW.zarr,historical,smbb,SNOW,"atmospheric snow, after rain/snow repartitioning based on temperature",1850-01-01 12:00:00,2014-12-31 12:00:00,,
lnd,global_land,daily,s3://ncar-cesm2-lens/lnd/daily/cesm2LE-historical-smbb-SOILWATER_10CM.zarr,historical,smbb,SOILWATER_10CM,soil liquid water + ice in top 10cm of soil (veg landunits only),1850-01-01 12:00:00,2014-12-31 12:00:00,,
lnd,global_land,daily,s3://ncar-cesm2-lens/lnd/daily/cesm2LE-ssp370-cmip6-FSNO.zarr,ssp370,cmip6,FSNO,fraction of ground covered by snow,2015-01-01 12:00:00,2100-12-31 12:00:00,,
lnd,global_land,daily,s3://ncar-cesm2-lens/lnd/daily/cesm2LE-ssp370-cmip6-H2OSNO.zarr,ssp370,cmip6,H2OSNO,snow depth (liquid water),2015-01-01 12:00:00,2100-12-31 12:00:00,,
lnd,global_land,daily,s3://ncar-cesm2-lens/lnd/daily/cesm2LE-ssp370-cmip6-NPP.zarr,ssp370,cmip6,NPP,net primary production,2015-01-01 12:00:00,2100-12-31 12:00:00,,
lnd,global_land,daily,s3://ncar-cesm2-lens/lnd/daily/cesm2LE-ssp370-cmip6-QRUNOFF.zarr,ssp370,cmip6,QRUNOFF,total liquid runoff not including correction for land use change,2015-01-01 12:00:00,2100-12-31 12:00:00,,
lnd,global_land,daily,s3://ncar-cesm2-lens/lnd/daily/cesm2LE-ssp370-cmip6-RAIN.zarr,ssp370,cmip6,RAIN,"atmospheric rain, after rain/snow repartitioning based on temperature",2015-01-01 12:00:00,2100-12-31 12:00:00,,
lnd,global_land,daily,s3://ncar-cesm2-lens/lnd/daily/cesm2LE-ssp370-cmip6-SNOW.zarr,ssp370,cmip6,SNOW,"atmospheric snow, after rain/snow repartitioning based on temperature",2015-01-01 12:00:00,2100-12-31 12:00:00,,
lnd,global_land,daily,s3://ncar-cesm2-lens/lnd/daily/cesm2LE-ssp370-cmip6-SOILWATER_10CM.zarr,ssp370,cmip6,SOILWATER_10CM,soil liquid water + ice in top 10cm of soil (veg landunits only),2015-01-01 12:00:00,2100-12-31 12:00:00,,
lnd,global_land,daily,s3://ncar-cesm2-lens/lnd/daily/cesm2LE-ssp370-smbb-FSNO.zarr,ssp370,smbb,FSNO,fraction of ground covered by snow,2015-01-01 12:00:00,2100-12-31 12:00:00,,
lnd,global_land,daily,s3://ncar-cesm2-lens/lnd/daily/cesm2LE-ssp370-smbb-H2OSNO.zarr,ssp370,smbb,H2OSNO,snow depth (liquid water),2015-01-01 12:00:00,2100-12-31 12:00:00,,
lnd,global_land,daily,s3://ncar-cesm2-lens/lnd/daily/cesm2LE-ssp370-smbb-NPP.zarr,ssp370,smbb,NPP,net primary production,2015-01-01 12:00:00,2100-12-31 12:00:00,,
lnd,global_land,daily,s3://ncar-cesm2-lens/lnd/daily/cesm2LE-ssp370-smbb-QRUNOFF.zarr,ssp370,smbb,QRUNOFF,total liquid runoff not including correction for land use change,2015-01-01 12:00:00,2100-12-31 12:00:00,,
lnd,global_land,daily,s3://ncar-cesm2-lens/lnd/daily/cesm2LE-ssp370-smbb-RAIN.zarr,ssp370,smbb,RAIN,"atmospheric rain, after rain/snow repartitioning based on temperature",2015-01-01 12:00:00,2100-12-31 12:00:00,,
lnd,global_land,daily,s3://ncar-cesm2-lens/lnd/daily/cesm2LE-ssp370-smbb-SNOW.zarr,ssp370,smbb,SNOW,"atmospheric snow, after rain/snow repartitioning based on temperature",2015-01-01 12:00:00,2100-12-31 12:00:00,,
lnd,global_land,daily,s3://ncar-cesm2-lens/lnd/daily/cesm2LE-ssp370-smbb-SOILWATER_10CM.zarr,ssp370,smbb,SOILWATER_10CM,soil liquid water + ice in top 10cm of soil (veg landunits only),2015-01-01 12:00:00,2100-12-31 12:00:00,,
lnd,global_land,monthly,s3://ncar-cesm2-lens/lnd/monthly/cesm2LE-historical-cmip6-FSNO.zarr,historical,cmip6,FSNO,fraction of ground covered by snow,1850-01-16 12:00:00,2014-12-16 12:00:00,,
lnd,global_land,monthly,s3://ncar-cesm2-lens/lnd/monthly/cesm2LE-historical-cmip6-H2OSNO.zarr,historical,cmip6,H2OSNO,snow depth (liquid water),1850-01-16 12:00:00,2014-12-16 12:00:00,,
lnd,global_land,monthly,s3://ncar-cesm2-lens/lnd/monthly/cesm2LE-historical-cmip6-QRUNOFF.zarr,historical,cmip6,QRUNOFF,total liquid runoff not including correction for land use change,1850-01-16 12:00:00,2014-12-16 12:00:00,,
lnd,global_land,monthly,s3://ncar-cesm2-lens/lnd/monthly/cesm2LE-historical-cmip6-RAIN.zarr,historical,cmip6,RAIN,"atmospheric rain, after rain/snow repartitioning based on temperature",1850-01-16 12:00:00,2014-12-16 12:00:00,,
lnd,global_land,monthly,s3://ncar-cesm2-lens/lnd/monthly/cesm2LE-historical-cmip6-SNOW.zarr,historical,cmip6,SNOW,"atmospheric snow, after rain/snow repartitioning based on temperature",1850-01-16 12:00:00,2014-12-16 12:00:00,,
lnd,global_land,monthly,s3://ncar-cesm2-lens/lnd/monthly/cesm2LE-historical-cmip6-SOILLIQ.zarr,historical,cmip6,SOILLIQ,soil liquid water (vegetated landunits only),1850-01-16 12:00:00,2014-12-16 12:00:00,,
lnd,global_land,monthly,s3://ncar-cesm2-lens/lnd/monthly/cesm2LE-historical-cmip6-SOILWATER_10CM.zarr,historical,cmip6,SOILWATER_10CM,soil liquid water + ice in top 10cm of soil (veg landunits only),1850-01-16 12:00:00,2014-12-16 12:00:00,,
lnd,global_land,monthly,s3://ncar-cesm2-lens/lnd/monthly/cesm2LE-historical-smbb-FSNO.zarr,historical,smbb,FSNO,fraction of ground covered by snow,1850-01-16 12:00:00,2014-12-16 12:00:00,,
lnd,global_land,monthly,s3://ncar-cesm2-lens/lnd/monthly/cesm2LE-historical-smbb-H2OSNO.zarr,historical,smbb,H2OSNO,snow depth (liquid water),1850-01-16 12:00:00,2014-12-16 12:00:00,,
lnd,global_land,monthly,s3://ncar-cesm2-lens/lnd/monthly/cesm2LE-historical-smbb-QRUNOFF.zarr,historical,smbb,QRUNOFF,total liquid runoff not including correction for land use change,1850-01-16 12:00:00,2014-12-16 12:00:00,,
lnd,global_land,monthly,s3://ncar-cesm2-lens/lnd/monthly/cesm2LE-historical-smbb-RAIN.zarr,historical,smbb,RAIN,"atmospheric rain, after rain/snow repartitioning based on temperature",1850-01-16 12:00:00,2014-12-16 12:00:00,,
lnd,global_land,monthly,s3://ncar-cesm2-lens/lnd/monthly/cesm2LE-historical-smbb-SNOW.zarr,historical,smbb,SNOW,"atmospheric snow, after rain/snow repartitioning based on temperature",1850-01-16 12:00:00,2014-12-16 12:00:00,,
lnd,global_land,monthly,s3://ncar-cesm2-lens/lnd/monthly/cesm2LE-historical-smbb-SOILLIQ.zarr,historical,smbb,SOILLIQ,soil liquid water (vegetated landunits only),1850-01-16 12:00:00,2014-12-16 12:00:00,,
lnd,global_land,monthly,s3://ncar-cesm2-lens/lnd/monthly/cesm2LE-historical-smbb-SOILWATER_10CM.zarr,historical,smbb,SOILWATER_10CM,soil liquid water + ice in top 10cm of soil (veg landunits only),1850-01-16 12:00:00,2014-12-16 12:00:00,,
lnd,global_land,monthly,s3://ncar-cesm2-lens/lnd/monthly/cesm2LE-ssp370-cmip6-FSNO.zarr,ssp370,cmip6,FSNO,fraction of ground covered by snow,2015-01-16 12:00:00,2100-12-16 12:00:00,,
lnd,global_land,monthly,s3://ncar-cesm2-lens/lnd/monthly/cesm2LE-ssp370-cmip6-H2OSNO.zarr,ssp370,cmip6,H2OSNO,snow depth (liquid water),2015-01-16 12:00:00,2100-12-16 12:00:00,,
lnd,global_land,monthly,s3://ncar-cesm2-lens/lnd/monthly/cesm2LE-ssp370-cmip6-QRUNOFF.zarr,ssp370,cmip6,QRUNOFF,total liquid runoff not including correction for land use change,2015-01-16 12:00:00,2100-12-16 12:00:00,,
lnd,global_land,monthly,s3://ncar-cesm2-lens/lnd/monthly/cesm2LE-ssp370-cmip6-RAIN.zarr,ssp370,cmip6,RAIN,"atmospheric rain, after rain/snow repartitioning based on temperature",2015-01-16 12:00:00,2100-12-16 12:00:00,,
lnd,global_land,monthly,s3://ncar-cesm2-lens/lnd/monthly/cesm2LE-ssp370-cmip6-SNOW.zarr,ssp370,cmip6,SNOW,"atmospheric snow, after rain/snow repartitioning based on temperature",2015-01-16 12:00:00,2100-12-16 12:00:00,,
lnd,global_land,monthly,s3://ncar-cesm2-lens/lnd/monthly/cesm2LE-ssp370-cmip6-SOILLIQ.zarr,ssp370,cmip6,SOILLIQ,soil liquid water (vegetated landunits only),2015-01-16 12:00:00,2100-12-16 12:00:00,,
lnd,global_land,monthly,s3://ncar-cesm2-lens/lnd/monthly/cesm2LE-ssp370-cmip6-SOILWATER_10CM.zarr,ssp370,cmip6,SOILWATER_10CM,soil liquid water + ice in top 10cm of soil (veg landunits only),2015-01-16 12:00:00,2100-12-16 12:00:00,,
lnd,global_land,monthly,s3://ncar-cesm2-lens/lnd/monthly/cesm2LE-ssp370-smbb-FSNO.zarr,ssp370,smbb,FSNO,fraction of ground covered by snow,2015-01-16 12:00:00,2100-12-16 12:00:00,,
lnd,global_land,monthly,s3://ncar-cesm2-lens/lnd/monthly/cesm2LE-ssp370-smbb-H2OSNO.zarr,ssp370,smbb,H2OSNO,snow depth (liquid water),2015-01-16 12:00:00,2100-12-16 12:00:00,,
lnd,global_land,monthly,s3://ncar-cesm2-lens/lnd/monthly/cesm2LE-ssp370-smbb-QRUNOFF.zarr,ssp370,smbb,QRUNOFF,total liquid runoff not including correction for land use change,2015-01-16 12:00:00,2100-12-16 12:00:00,,
lnd,global_land,monthly,s3://ncar-cesm2-lens/lnd/monthly/cesm2LE-ssp370-smbb-RAIN.zarr,ssp370,smbb,RAIN,"atmospheric rain, after rain/snow repartitioning based on temperature",2015-01-16 12:00:00,2100-12-16 12:00:00,,
lnd,global_land,monthly,s3://ncar-cesm2-lens/lnd/monthly/cesm2LE-ssp370-smbb-SNOW.zarr,ssp370,smbb,SNOW,"atmospheric snow, after rain/snow repartitioning based on temperature",2015-01-16 12:00:00,2100-12-16 12:00:00,,
lnd,global_land,monthly,s3://ncar-cesm2-lens/lnd/monthly/cesm2LE-ssp370-smbb-SOILLIQ.zarr,ssp370,smbb,SOILLIQ,soil liquid water (vegetated landunits only),2015-01-16 12:00:00,2100-12-16 12:00:00,,
lnd,global_land,monthly,s3://ncar-cesm2-lens/lnd/monthly/cesm2LE-ssp370-smbb-SOILWATER_10CM.zarr,ssp370,smbb,SOILWATER_10CM,soil liquid water + ice in top 10cm of soil (veg landunits only),2015-01-16 12:00:00,2100-12-16 12:00:00,,
atm,global,static,s3://ncar-cesm2-lens/atm/static/grid.zarr,ssp370,smbb,,,,,,
ice,global_ocean,static,s3://ncar-cesm2-lens/ice/static/grid.zarr,ssp370,smbb,,,,,,
ocn,global_ocean,static,s3://ncar-cesm2-lens/ocn/static/grid.zarr,ssp370,smbb,,,,,,
atm,global,static,s3://ncar-cesm2-lens/atm/static/grid.zarr,ssp370,cmip6,,,,,,
ice,global_ocean,static,s3://ncar-cesm2-lens/ice/static/grid.zarr,ssp370,cmip6,,,,,,
ocn,global_ocean,static,s3://ncar-cesm2-lens/ocn/static/grid.zarr,ssp370,cmip6,,,,,,
atm,global,static,s3://ncar-cesm2-lens/atm/static/grid.zarr,historical,smbb,,,,,,
ice,global_ocean,static,s3://ncar-cesm2-lens/ice/static/grid.zarr,historical,smbb,,,,,,
ocn,global_ocean,static,s3://ncar-cesm2-lens/ocn/static/grid.zarr,historical,smbb,,,,,,
atm,global,static,s3://ncar-cesm2-lens/atm/static/grid.zarr,historical,cmip6,,,,,,
ice,global_ocean,static,s3://ncar-cesm2-lens/ice/static/grid.zarr,historical,cmip6,,,,,,
ocn,global_ocean,static,s3://ncar-cesm2-lens/ocn/static/grid.zarr,historical,cmip6,,,,,,
atm,global,daily,s3://ncar-cesm2-lens/atm/daily/cesm2LE-historical-cmip6-LHFLX.zarr,historical,cmip6,LHFLX,Surface latent heat flux,1850-01-01 12:00:00,2014-12-31 12:00:00,,
atm,global,daily,s3://ncar-cesm2-lens/atm/daily/cesm2LE-historical-cmip6-PRECC.zarr,historical,cmip6,PRECC,Convective precipitation rate (liq + ice),1850-01-01 12:00:00,2014-12-31 12:00:00,,
atm,global,daily,s3://ncar-cesm2-lens/atm/daily/cesm2LE-historical-cmip6-PRECL.zarr,historical,cmip6,PRECL,Large-scale (stable) precipitation rate (liq + ice),1850-01-01 12:00:00,2014-12-31 12:00:00,,
atm,global,daily,s3://ncar-cesm2-lens/atm/daily/cesm2LE-historical-cmip6-PRECSC.zarr,historical,cmip6,PRECSC,Convective snow rate (water equivalent),1850-01-01 12:00:00,2014-12-31 12:00:00,,
atm,global,daily,s3://ncar-cesm2-lens/atm/daily/cesm2LE-historical-cmip6-PRECSL.zarr,historical,cmip6,PRECSL,Large-scale (stable) snow rate (water equivalent),1850-01-01 12:00:00,2014-12-31 12:00:00,,
atm,global,daily,s3://ncar-cesm2-lens/atm/daily/cesm2LE-historical-cmip6-PSL.zarr,historical,cmip6,PSL,Sea level pressure,1850-01-01 12:00:00,2014-12-31 12:00:00,,
atm,global,daily,s3://ncar-cesm2-lens/atm/daily/cesm2LE-historical-cmip6-Q.zarr,historical,cmip6,Q,Specific humidity,1850-01-01 12:00:00,2014-12-31 12:00:00,,
atm,global,daily,s3://ncar-cesm2-lens/atm/daily/cesm2LE-historical-cmip6-SHFLX.zarr,historical,cmip6,SHFLX,Surface sensible heat flux,1850-01-01 12:00:00,2014-12-31 12:00:00,,
atm,global,daily,s3://ncar-cesm2-lens/atm/daily/cesm2LE-historical-cmip6-Z3.zarr,historical,cmip6,Z3,Geopotential Height (above sea level),1850-01-01 12:00:00,2014-12-31 12:00:00,,
atm,global,daily,s3://ncar-cesm2-lens/atm/daily/cesm2LE-historical-smbb-LHFLX.zarr,historical,smbb,LHFLX,Surface latent heat flux,1850-01-01 12:00:00,2014-12-31 12:00:00,,
atm,global,daily,s3://ncar-cesm2-lens/atm/daily/cesm2LE-historical-smbb-Q.zarr,historical,smbb,Q,Specific humidity,1850-01-01 12:00:00,2014-12-31 12:00:00,,
atm,global,daily,s3://ncar-cesm2-lens/atm/daily/cesm2LE-historical-smbb-SHFLX.zarr,historical,smbb,SHFLX,Surface sensible heat flux,1850-01-01 12:00:00,2014-12-31 12:00:00,,
atm,global,daily,s3://ncar-cesm2-lens/atm/daily/cesm2LE-historical-smbb-Z3.zarr,historical,smbb,Z3,Geopotential Height (above sea level),1850-01-01 12:00:00,2014-12-31 12:00:00,,
atm,global,daily,s3://ncar-cesm2-lens/atm/daily/cesm2LE-ssp370-cmip6-FLNS.zarr,ssp370,cmip6,FLNS,Net longwave flux at surface,2015-01-01 12:00:00,2100-12-31 12:00:00,,
atm,global,daily,s3://ncar-cesm2-lens/atm/daily/cesm2LE-ssp370-cmip6-FLNSC.zarr,ssp370,cmip6,FLNSC,Clearsky net longwave flux at surface,2015-01-01 12:00:00,2100-12-31 12:00:00,,
atm,global,daily,s3://ncar-cesm2-lens/atm/daily/cesm2LE-ssp370-cmip6-FLUT.zarr,ssp370,cmip6,FLUT,Upwelling longwave flux at top of model,2015-01-01 12:00:00,2100-12-31 12:00:00,,
atm,global,daily,s3://ncar-cesm2-lens/atm/daily/cesm2LE-ssp370-cmip6-FSNS.zarr,ssp370,cmip6,FSNS,Net solar flux at surface,2015-01-01 12:00:00,2100-12-31 12:00:00,,
atm,global,daily,s3://ncar-cesm2-lens/atm/daily/cesm2LE-ssp370-cmip6-FSNSC.zarr,ssp370,cmip6,FSNSC,Clearsky net solar flux at surface,2015-01-01 12:00:00,2100-12-31 12:00:00,,
